Ticker,Name,Sector,AssetClass,MarketValue,NotionalValue,Shares,Price,Location,Exchange,Currency,FXRate,MarketCurrency,AccrualDate,Weight
CAKE,CHEESECAKE FACTORY INC,Consumer Discretionary,Equity,513322.05,513322.05,11685,43.93,United States,NASDAQ,USD,1,USD,,0
ARCB,ARCBEST CORP,Industrials,Equity,509370.26,509370.26,6202,82.13,United States,NASDAQ,USD,1,USD,,0
PATK,PATRICK INDUSTRIES INC,Consumer Discretionary,Equity,506508.66,506508.66,5922,85.53,United States,NASDAQ,USD,1,USD,,0
LGND,LIGAND PHARMACEUTICALS INC,Health Care,Equity,504968.56,504968.56,3923,128.72,United States,NASDAQ,USD,1,USD,,0
SVC,SERVICE PROPERTIES TRUST,Real Estate,Equity,497594.1,497594.1,43458,11.45,United States,NASDAQ,USD,1,USD,,0
NWBI,NORTHWEST BANCSHARES INC,Financials,Equity,494793.84,494793.84,35751,13.84,United States,NASDAQ,USD,1,USD,,0
SNBR,SLEEP NUMBER CORP,Consumer Discretionary,Equity,493729.4,493729.4,5812,84.95,United States,NASDAQ,USD,1,USD,,0
SBCF,SEACOAST BANKING OF FLORIDA,Financials,Equity,492616.05,492616.05,13627,36.15,United States,NASDAQ,USD,1,USD,,0
CLDX,CELLDEX THERAPEUTICS INC,Health Care,Equity,490679,490679,10276,47.75,United States,NASDAQ,USD,1,USD,,0
WOR,WORTHINGTON INDUSTRIES INC,Materials,Equity,489581.52,489581.52,9466,51.72,United States,New York Stock Exchange Inc.,USD,1,USD,,0
LNN,LINDSAY CORP,Industrials,Equity,486532.53,486532.53,3117,156.09,United States,New York Stock Exchange Inc.,USD,1,USD,,0
MNRO,MONRO INC,Consumer Discretionary,Equity,481513.94,481513.94,8458,56.93,United States,NASDAQ,USD,1,USD,,0
BGCP,BGC PARTNERS INC CLASS A,Financials,Equity,478030.4,478030.4,87712,5.45,United States,NASDAQ,USD,1,USD,,0
HCSG,HEALTHCARE SERVICES GROUP INC,Industrials,Equity,475041.99,475041.99,20327,23.37,United States,NASDAQ,USD,1,USD,,0
UIS,UNISYS CORP,Information Technology,Equity,474339.2,474339.2,18160,26.12,United States,New York Stock Exchange Inc.,USD,1,USD,,0
